make,year,defects_per_tail,rel_rate,bracket
DOUG,2018,10.910025706940875,1.098345706999776,medium
DOUG,2019,11.578073089700997,1.165600083353831,high
DOUG,2020,15.193548387096774,1.529581056298014,high
DOUG,2021,19.33076923076923,1.9460877515725004,high
DOUG,2022,14.128,1.4223090362308464,high
DOUG,2023,12.137254901960784,1.2218946292536776,high
DOUG,2024,10.337662337662337,1.0407241333777206,medium
DOUG,2025,14.853333333333333,1.4953305647047592,high
DOUG,2026,3.0,0.30201918946011747,low
EMB,2000,5.142028985507246,0.9137479957159396,medium
EMB,2001,5.627403846153846,1.0,medium
EMB,2002,5.943600867678959,1.0561887915226174,medium
EMB,2003,5.201773835920178,0.9243647653749655,medium
EMB,2004,4.963604852686308,0.8820416995803094,medium
EMB,2005,3.791935483870968,0.6738339005939012,low
EMB,2006,4.240822320117474,0.7536019159200639,low
EMB,2007,4.813753581661891,0.8554128534691785,medium
EMB,2008,3.7975376196990425,0.6748294104206757,low
EMB,2009,4.974093264248705,0.883905509580291,medium
EMB,2010,6.12987012987013,1.089289181557443,medium
EMB,2011,6.133819951338199,1.0899910720874375,medium
EMB,2012,7.674019607843137,1.3636873801207796,high
EMB,2013,8.31919905771496,1.4783369534427266,high
EMB,2014,8.282685512367491,1.471848429365603,high
EMB,2015,7.347066167290887,1.3055871531794143,high
EMB,2016,6.408505154639175,1.13880313726181,high
EMB,2017,5.478260869565218,0.9734970191111195,medium
EMB,2018,6.357142857142857,1.1296759626533228,high
EMB,2019,6.530454042081949,1.1604736785587744,high
EMB,2020,5.2100737100737105,0.9258396682574386,medium
EMB,2021,5.738035264483627,1.019659406247411,medium
EMB,2022,5.487405541561713,0.9751220441220302,medium
EMB,2023,5.121827411167513,0.9101581388490754,medium
EMB,2024,6.119383825417201,1.0874257459946843,medium
EMB,2025,6.0864928909952605,1.0815809665331177,medium
EMB,2026,4.011881188118812,0.7129186562398231,low
FOKKER,2000,24.633333333333333,6.158333333333333,high
FOKKER,2001,12.14655172413793,3.0366379310344827,high
